customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0034,Female,0,Yes,No,56,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer,25.99,185.52,No
CUST0035,Female,0,No,Yes,46,Yes,No phone service,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card,21.88,272.02,Yes
CUST0036,Male,1,Yes,Yes,34,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,117.39,4068.78,No
CUST0037,Female,1,Yes,No,18,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,39.34,5880.3,No
CUST0038,Male,0,No,No,7,Yes,Yes,DSL,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Bank transfer,102.21,984.31,Yes
CUST0039,Male,0,Yes,No,25,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card,76.19,1785.85,No
CUST0040,Male,0,Yes,Yes,70,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card,46.45,2631.53,No
CUST0041,Male,1,Yes,No,29,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,33.0,1760.25,Yes
CUST0042,Male,0,No,No,6,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.67,3142.87,No
CUST0043,Female,0,Yes,Yes,66,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card,60.74,4485.73,No
CUST0044,Female,0,Yes,No,64,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card,89.89,5485.8,Yes
CUST0045,Female,0,No,Yes,35,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,110.42,7710.93,Yes
CUST0046,Female,0,Yes,Yes,24,No,No phone service,No,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,100.52,7448.13,Yes
CUST0047,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer,47.45,4569.61,No
CUST0048,Male,0,No,No,0,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,107.89,5878.52,Yes
CUST0049,Female,0,Yes,No,14,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,Yes,Credit card,103.34,7607.96,No
CUST0050,Female,0,No,No,36,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,112.91,686.11,Yes
CUST0051,Male,0,No,No,12,Yes,Yes,No,No internet service,No,No internet service,No internet service,No internet service,No,One year,No,Electronic check,65.87,64.97,No
CUST0052,Female,1,Yes,No,7,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer,96.86,257.8,No
CUST0053,Male,0,No,Yes,4,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,79.17,4515.53,No
CUST0054,Female,0,No,Yes,59,Yes,Yes,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,51.05,6107.41,No
CUST0055,Male,1,Yes,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,No internet service,Two year,Yes,Credit card,119.44,2949.26,No
CUST0056,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,23.83,4371.01,No
CUST0057,Female,0,Yes,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,36.23,4140.6,No
CUST0058,Male,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No internet service,No,No,One year,Yes,Credit card,109.25,776.27,No
CUST0059,Male,0,Yes,Yes,62,Yes,No phone service,DSL,No internet service,No,No,No,No internet service,No,One year,Yes,Mailed check,26.06,2586.27,No
CUST0060,Male,0,No,Yes,22,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,No,Bank transfer,108.68,175.09,Yes
CUST0061,Male,0,No,No,8,Yes,Yes,No,Yes,No internet service,Yes,No,No,No,Two year,No,Bank transfer,91.52,903.43,No
CUST0062,Male,0,No,Yes,33,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,One year,No,Electronic check,23.67,6498.63,No
CUST0063,Male,0,No,No,45,Yes,Yes,No,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,62.93,6638.72,No
CUST0064,Male,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,95.45,6419.53,No
CUST0065,Male,0,No,Yes,29,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,78.31,5820.01,No
CUST0066,Female,0,No,Yes,71,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Two year,Yes,Mailed check,113.59,6350.64,Yes
CUST0067,Female,0,Yes,Yes,2,No,No phone service,No,No,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,106.76,5374.44,No
CUST0068,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Mailed check,53.26,5365.27,Yes
CUST0069,Female,1,No,No,59,No,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card,28.46,5345.55,Yes
CUST0070,Female,0,No,No,44,Yes,No,DSL,Yes,No internet service,No internet service,Yes,Yes,No,One year,Yes,Credit card,114.43,4122.06,No
CUST0071,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Two year,No,Bank transfer,71.73,2919.51,No
CUST0072,Female,0,No,Yes,44,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,27.44,5846.96,No
CUST0073,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,One year,Yes,Mailed check,101.66,2403.2,No
CUST0074,Female,0,Yes,Yes,15,No,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,No,Electronic check,106.85,4352.36,Yes
CUST0075,Male,1,Yes,No,65,Yes,No phone service,No,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Credit card,83.94,3478.18,No
CUST0076,Female,1,No,Yes,39,Yes,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,64.75,2227.45,No
CUST0077,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No,No internet service,Two year,Yes,Mailed check,86.22,7798.03,No
CUST0078,Female,1,Yes,Yes,33,No,No,DSL,No internet service,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,90.67,2084.84,No
CUST0079,Male,0,Yes,No,15,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Bank transfer,109.3,2488.16,Yes
CUST0080,Female,0,Yes,Yes,59,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,115.59,1309.47,No
CUST0081,Male,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Credit card,71.43,6587.39,No
CUST0082,Female,1,Yes,No,65,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,99.85,4700.98,No
CUST0083,Male,0,No,Yes,12,Yes,No phone service,No,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,116.45,4912.05,No
CUST0084,Female,0,Yes,Yes,55,Yes,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,35.12,6568.08,Yes
CUST0085,Male,0,No,Yes,30,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,21.83,2756.5,Yes
CUST0086,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer,106.9,1565.19,Yes
CUST0087,Female,0,No,Yes,38,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,39.53,1603.27,No
CUST0088,Male,0,No,Yes,66,No,No,No,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,24.25,5866.31,Yes
CUST0089,Female,0,No,No,7,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,No,Electronic check,36.01,4920.64,No
CUST0090,Female,0,No,No,54,Yes,No,DSL,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer,58.41,1666.58,Yes
CUST0091,Female,0,No,No,26,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,41.93,1177.62,No
CUST0092,Female,0,No,Yes,52,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,50.53,983.08,Yes
CUST0093,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,117.53,5029.83,Yes
CUST0094,Female,0,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer,90.44,20.95,No
CUST0095,Female,1,Yes,No,16,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Credit card,91.22,166.19,No
CUST0096,Female,0,No,Yes,29,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,29.47,3128.63,No
CUST0097,Female,0,No,Yes,52,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,One year,No,Mailed check,93.21,5536.97,No
CUST0098,Female,0,Yes,No,12,No,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,93.93,5566.41,No
CUST0099,Female,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,85.97,3452.34,No
CUST0100,Male,0,Yes,No,18,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,42.84,5534.77,No
CUST0101,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,62.3,4178.35,Yes
CUST0102,Female,0,Yes,No,18,Yes,No phone service,DSL,No,No,No,No internet service,No,Yes,One year,No,Bank transfer,104.63,7815.91,No
CUST0103,Female,0,Yes,Yes,56,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,87.02,1316.43,No
CUST0104,Female,0,No,No,24,Yes,Yes,No,No,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,93.28,4813.32,No
CUST0105,Female,0,No,Yes,30,Yes,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,78.74,3940.09,Yes
CUST0106,Female,0,Yes,Yes,54,Yes,No phone service,No,Yes,Yes,No internet service,Yes,No internet service,No,One year,No,Credit card,64.96,1571.84,No
CUST0107,Female,0,No,No,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card,95.91,6004.92,Yes
CUST0108,Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,Two year,No,Bank transfer,26.79,2218.55,Yes
CUST0109,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,No,Credit card,87.32,3066.04,No
CUST0110,Male,0,No,Yes,9,No,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer,119.72,3011.15,No
CUST0111,Female,0,Yes,No,71,Yes,No,No,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,98.02,1968.75,No
CUST0112,Male,0,Yes,No,53,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,49.06,3457.03,No
CUST0113,Female,0,No,No,51,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,47.78,3797.3,Yes
CUST0114,Female,0,No,No,19,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,86.72,5958.89,Yes
CUST0115,Male,1,No,No,31,Yes,No phone service,No,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,109.59,6125.25,No
CUST0116,Female,1,Yes,Yes,13,No,No,Fiber optic,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,77.79,1285.28,No
CUST0117,Male,0,Yes,Yes,49,Yes,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,72.74,4750.32,No
CUST0118,Female,0,No,Yes,27,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,36.04,7171.66,No
CUST0119,Female,0,No,No,52,Yes,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,91.55,888.12,No
CUST0120,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,90.23,3793.85,No
CUST0121,Female,0,No,No,21,Yes,No,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Mailed check,116.7,6007.82,No
CUST0122,Male,0,Yes,Yes,29,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Electronic check,50.02,4899.7,No
CUST0123,Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer,95.64,822.67,No
CUST0124,Male,0,Yes,No,3,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,No,Bank transfer,63.41,3184.92,No
CUST0125,Male,0,Yes,No,58,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No internet service,Month-to-month,No,Electronic check,75.85,4067.77,No
CUST0126,Female,0,No,Yes,7,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No,Two year,No,Electronic check,101.65,7966.85,No
CUST0127,Female,0,No,No,11,No,No,DSL,No,No,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,42.2,1445.29,No
CUST0128,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Credit card,54.29,7859.74,Yes
CUST0129,Female,0,Yes,No,33,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Bank transfer,97.33,3021.68,Yes
CUST0130,Female,0,No,Yes,48,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,77.05,1618.56,No
CUST0131,Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,One year,Yes,Bank transfer,29.24,3324.59,No
CUST0132,Male,1,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,Yes,One year,No,Mailed check,63.02,4919.68,No
CUST0133,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,78.66,1723.71,No
CUST0134,Male,0,Yes,No,37,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,110.95,2345.68,No
CUST0135,Male,0,No,Yes,49,Yes,No phone service,No,No,No,No internet service,No,Yes,Yes,Two year,Yes,Electronic check,38.85,6839.28,Yes
CUST0136,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Two year,No,Credit card,100.6,7992.1,Yes
CUST0137,Male,0,No,No,40,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,33.06,2559.02,No
CUST0138,Male,0,No,No,5,Yes,No phone service,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,44.22,1207.88,Yes
CUST0139,Male,0,Yes,Yes,68,Yes,No phone service,No,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,44.33,6349.5,Yes
CUST0140,Male,0,Yes,No,43,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,107.75,4811.64,No
CUST0141,Female,0,No,No,63,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,39.9,821.2,Yes
CUST0142,Male,0,Yes,No,28,No,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer,98.7,7575.24,No
CUST0143,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card,66.18,642.84,No
CUST0144,Female,0,Yes,Yes,10,Yes,No,No,No,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,119.91,5010.34,No
CUST0145,Female,0,Yes,No,64,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Two year,Yes,Bank transfer,103.91,3403.02,No
CUST0146,Male,1,No,No,18,No,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card,93.97,4461.86,No
CUST0147,Male,0,No,Yes,8,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer,107.07,1721.45,Yes
CUST0148,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer,83.4,5511.12,Yes
CUST0149,Male,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,104.37,7678.56,No
CUST0150,Female,0,Yes,No,43,Yes,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,46.11,3678.24,Yes
CUST0151,Male,0,Yes,No,67,Yes,No phone service,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Credit card,29.77,4193.21,Yes
CUST0152,Male,0,No,No,14,Yes,No phone service,No,Yes,No internet service,Yes,No,Yes,No,One year,Yes,Bank transfer,81.59,1933.7,No
CUST0153,Male,0,No,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card,63.47,7137.11,No
CUST0154,Male,0,Yes,Yes,12,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,62.64,7769.97,No
CUST0155,Male,0,Yes,Yes,48,Yes,No phone service,No,No,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,72.67,6294.65,Yes
CUST0156,Female,0,Yes,No,69,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,56.14,4351.33,No
CUST0157,Male,0,No,No,55,Yes,No phone service,DSL,Yes,No internet service,No,No internet service,No,Yes,Two year,No,Electronic check,82.61,7655.24,No
CUST0158,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Mailed check,23.06,1247.72,Yes
CUST0159,Male,0,No,No,36,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card,116.99,3838.36,Yes
CUST0160,Female,0,Yes,Yes,16,Yes,No,DSL,Yes,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,112.47,4310.09,No
CUST0161,Male,0,No,Yes,57,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,113.53,3945.49,No
CUST0162,Male,1,Yes,No,28,Yes,No,No,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer,56.5,6423.3,No
CUST0163,Female,0,No,Yes,32,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Electronic check,73.19,5369.82,Yes
CUST0164,Female,0,Yes,No,59,No,Yes,DSL,No,No,No,No internet service,No internet service,No internet service,One year,No,Mailed check,115.41,1030.73,No
CUST0165,Female,0,Yes,No,54,Yes,Yes,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Credit card,110.23,2784.68,No
CUST0166,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card,99.02,2725.83,Yes
CUST0167,Female,0,No,No,46,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,60.73,4533.74,Yes
CUST0168,Male,0,Yes,No,22,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,76.43,2345.84,No
CUST0169,Male,0,No,Yes,20,Yes,Yes,No,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer,99.29,955.83,No
CUST0170,Female,0,No,No,12,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,No,Bank transfer,47.3,5236.39,No
CUST0171,Female,0,Yes,No,32,Yes,Yes,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer,82.64,6811.27,No
CUST0172,Male,1,Yes,Yes,23,Yes,Yes,No,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,102.79,7454.23,No
CUST0173,Male,0,Yes,No,10,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,90.75,7781.18,No
